,o1__spkt_welch_density__coeff_5,o2__spkt_welch_density__coeff_5,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_8,t3__spkt_welch_density__coeff_8,t4__fourier_entropy__bins_100,t3__spkt_welch_density__coeff_5,o1__spkt_welch_density__coeff_8,o2__spkt_welch_density__coeff_8,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_7,o1__energy_ratio_by_chunks__num_segments_10__segment_focus_8,o2__fourier_entropy__bins_100,t4__spkt_welch_density__coeff_8,o2__energy_ratio_by_chunks__num_segments_10__segment_focus_8,t4__energy_ratio_by_chunks__num_segments_10__segment_focus_8,o1__fourier_entropy__bins_100,t3__fourier_entropy__bins_100,t4__spkt_welch_density__coeff_5,t3__partial_autocorrelation__lag_2,"t3__agg_autocorrelation__f_agg_""var""__maxlag_40",t4__energy_ratio_by_chunks__num_segments_10__segment_focus_7,t3__energy_ratio_by_chunks__num_segments_10__segment_focus_6,t4__energy_ratio_by_chunks__num_segments_10__segment_focus_6,o2__energy_ratio_by_chunks__num_segments_10__segment_focus_6,o1__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"o1__fft_coefficient__attr_""abs""__coeff_30","o2__agg_autocorrelation__f_agg_""var""__maxlag_40","o2__fft_coefficient__attr_""abs""__coeff_25"
10,7.416540529601005e-10,5.483537892491188e-10,0.004790775018100947,1.8004026172451205e-09,0.18121382170440362,2.0451056416306586e-09,7.895631302683014e-10,5.267906310759349e-10,0.0010345258729060561,0.006684359714010363,0.13600216966487969,5.092011543227397e-10,0.0077992565661387896,0.0024614779170496624,0.2156169896628778,0.13600216966487969,5.426436001740374e-10,-0.6884235155199521,0.05718811286000179,0.0007848082077308365,0.0008276343578735442,0.0005320354378249447,0.00028420522608601443,0.0017110432997450738,0.005194965058716976,0.05729760078582789,0.010603933346778832
11,3.9507721506600823e-10,5.263242590522744e-10,0.005059572501192831,8.14784125488802e-10,0.13600216966487969,2.0993378394680007e-09,1.1977785069715974e-09,8.958879892525606e-10,0.001100246522073444,0.008715812357599604,0.32299406367009187,4.824266125617667e-10,0.012872468853370591,0.005553867028118236,0.18121382170440362,0.18121382170440362,1.6387747323973984e-09,-0.7162404668196587,0.047247367895753616,0.0005905988859675073,0.0003972437601688522,0.00017223816082947177,0.0017897466424257593,0.001468876210678103,0.004817407904140742,0.03651452946207907,0.005881475579809806
12,7.916381087635268e-10,8.368677558609501e-10,0.0005460780503648656,3.667299488491886e-10,0.13600216966487969,3.516710705606699e-09,8.155820336500319e-10,9.746756524630602e-10,0.00033265539736069004,0.0012208132201742509,0.13600216966487969,5.776130467476315e-10,0.0011479567375966388,0.0002476564648854626,0.13600216966487969,0.18121382170440362,7.24913161168597e-10,-0.7994197328508968,0.04987921912973296,0.00014450933843036343,0.00043718060382189376,0.0001580663844045711,0.0002667862021826164,0.000954015846187218,0.004442975708315475,0.05333331715130156,0.00978950276801421
13,9.357431346470351e-10,6.260448594619254e-10,0.0035246698058743384,5.019984798867627e-10,0.13600216966487969,1.3887053260058758e-09,1.1873288675325757e-09,4.5581751735870353e-10,0.0008036645135536196,0.006777804591987623,0.33994229010240506,2.16403084658207e-10,0.009589969832211855,0.0013914188578627875,0.3633458417389971,0.13600216966487969,1.0376154895347038e-09,-0.8098517135165102,0.056605147521554836,0.00027591311403816663,0.00038968810664477956,0.00012578425543357285,0.0012854684059993898,0.001752853628226467,0.004589800211870755,0.06765692690619589,0.004804949846781497
14,5.565771099127528e-10,5.0448657633378e-10,0.003327079172779963,4.411070769054148e-10,0.13600216966487969,1.0235812445510146e-09,5.472730554666451e-10,3.1185944800720096e-10,0.0030134435767824124,0.005517395186060917,0.35259937382333906,2.623239549485183e-10,0.009513001465415265,0.0012673578907594148,0.2156169896628778,0.13600216966487969,1.1005604440834287e-09,-0.7938775211671649,0.051702673742008806,0.00023605907608527016,0.001772803784351696,0.00018767845953623994,0.0014555213568858397,0.0019193765415717453,0.005668375820878384,0.06129626822712286,0.006280666061353291
15,6.684831584584362e-10,6.364418577688501e-10,0.00042876868564822906,6.635549714893867e-10,0.13600216966487969,1.2738133647985273e-09,8.769399857149698e-10,6.83804541255449e-10,0.0007722898236651744,0.0007076916634934714,0.13600216966487969,3.7886818647610146e-10,0.0006094013255778899,0.0011722165319768974,0.18121382170440362,0.13600216966487969,3.651203785174263e-10,-0.8075949845105647,0.04339414524966344,0.0002830502002989383,0.0007736844745277336,0.00025728124658939364,0.0002743306420815342,0.0009409981104726467,0.003879068448792852,0.049280770779228364,0.00944976868114624
16,7.084948672604231e-10,8.871062894796478e-10,0.005871327328064859,3.8246726845697513e-10,0.13600216966487969,1.1189676478760425e-09,3.2912466462774354e-10,6.253722886723362e-10,0.0008590210102604071,0.005829591438000952,0.13600216966487969,3.8219592715170877e-10,0.007390916849764389,0.004522719936242476,0.18121382170440362,0.13600216966487969,1.5394863663406392e-09,-0.760271720758772,0.05579941653205824,0.0005998577733362575,0.00044886877963075416,0.00012587743605995416,0.0005376780075278235,0.0009093748022034611,0.007776956597216507,0.060940845923688224,0.012005237661239178
17,3.9595981775427274e-10,2.7551652757884953e-10,0.00775117318669163,1.135698595397452e-09,0.13600216966487969,7.657371346611112e-10,5.559952696300316e-10,1.5805634281644303e-09,0.0009179666541980678,0.00847171062356074,0.2734888004706887,9.33512686187606e-10,0.011253552478072169,0.005528611777122885,0.2156169896628778,0.13600216966487969,1.2044765000222374e-09,-0.7185363479350771,0.05706581343281543,0.0006781990671504667,0.000547849413295228,0.0001167409151725175,0.0005379370054951333,0.0009127833425533483,0.0070660940582389555,0.06384057270129125,0.010489166402004532
18,5.39270245629235e-10,3.9838504016436103e-10,0.018181708136951254,6.511801824838967e-10,0.13600216966487969,1.2614541608176924e-09,5.593687359017025e-10,3.041181660214679e-10,0.003167409218694899,0.019177827049250265,0.2949817363020048,3.2600689599087807e-10,0.014233107780508607,0.012624925957835877,0.7930977864237557,0.21561698966287776,6.115959410367024e-10,-0.6713357137008232,0.06849812364551133,0.001407927278576404,0.001037125333838854,0.00028146488102519875,0.001204798016378218,0.0024823897634511484,0.00476926376032338,0.06885723137707023,0.0027073757915559975
19,1.027645755306132e-09,4.051141394588974e-10,0.0019761961296529836,1.0064244814303818e-09,0.13600216966487969,1.7351279599694169e-09,1.5330244577679827e-09,7.755061973894138e-10,0.0014078821124017065,0.0041055585337745,0.13600216966487969,3.6488381543274194e-10,0.008263147404730513,0.0001612520885537598,0.21561698966287776,0.13600216966487969,1.7317986871790828e-09,-0.7561198474900402,0.046839203787794284,0.00011526674415232834,0.0004940082853829727,0.00010437986937821122,0.0003611909128822365,0.0007368608434830373,0.004819755003651762,0.052289836348410355,0.008108836161985895
20,4.737777656612601e-10,6.803892456330876e-10,0.0005488006055435956,3.6540923319317583e-10,0.13600216966487969,1.2994795433389257e-09,8.242244568424466e-10,1.248206145705044e-09,0.0003925857914407108,0.000552354268393523,0.13600216966487969,4.4690511446525696e-10,0.0009523698508354836,0.0003114075885578333,0.13600216966487969,0.13600216966487969,1.873374695399911e-09,-0.8229964208479784,0.048298118565949434,9.722696653456668e-05,0.0005225878035280589,0.00010296606107904107,0.0004007742503090354,0.0007959601258952605,0.004733566883678229,0.04822325902896041,0.009138233583180477
21,9.515245847743487e-10,1.5910323213014085e-09,0.04075370898202907,2.7051850757582776e-09,0.18121382170440362,2.3958877533361755e-09,1.9227886785279565e-09,1.2279937436287532e-09,0.011887677522063059,0.021677122554542846,0.8049160900528761,1.090627214650908e-09,0.017712647021641707,0.007268362040216306,1.1925467677808352,0.5102934999111423,9.683611951674358e-10,-0.78010426729454,0.046886144476807945,0.0011846713881760347,0.0019555210403573936,0.0004914834543264275,0.0016604753992804045,0.004682779387344854,0.0026521061302733737,0.06092684234916542,0.0031236782301170252
22,2.9574453579689173e-10,4.883815095508151e-10,0.0033343117000638966,9.785890387826376e-10,0.13600216966487969,2.5746986339692846e-09,7.119973571875056e-10,8.925492068598667e-10,0.0007174780742833804,0.0020979419591597034,0.13600216966487969,7.809691268378799e-10,0.0005189263272862327,0.0051799463063855284,0.18121382170440362,0.18121382170440362,8.117912763534381e-10,-0.791808532868151,0.04723734874707283,0.0006156418342903024,0.0006989046921345378,0.00018689493101232876,0.0002545642038220753,0.0005294971559154188,0.0019931523666655102,0.0488683954962013,0.00886560480327212
23,5.017661057266994e-10,5.011254923992641e-10,0.01420156915725019,4.909924851803636e-10,0.13600216966487969,2.649228796182735e-10,9.572879783973061e-10,9.283433586064235e-10,0.0020171423631358664,0.01898022577418503,0.7808092321422653,6.303952842628779e-10,0.02104481966184465,0.010548197037689343,0.8164240062234819,0.13600216966487969,1.1965225382890194e-09,-0.6922168991125304,0.06349747961652837,0.0011163598385022962,0.0003050293032464246,0.0001543697118209702,0.0013396258522957605,0.0013976239742889492,0.00443506776811211,0.059917229221465904,0.004100727418787282
24,7.360938343067257e-10,6.041265942939343e-10,0.018726646302823828,2.519187901170428e-10,0.18121382170440362,4.168824418561731e-10,1.1904245462698242e-09,1.0983113319280549e-09,0.002392620947958883,0.02332573410403286,0.27348880047068863,4.58966883325649e-10,0.01037287473793633,0.013865934351950885,1.0860702769160453,0.2607041092304531,3.8523749391813214e-10,-0.6773092386946,0.06874005356671628,0.0015929319274585912,0.0003788397033282782,0.0002466536125011358,0.0010778850302718326,0.0031162597561323847,0.0024191926128385517,0.06009050164514096,0.0006446976476695838
25,6.49212325436106e-10,5.985880653845528e-10,0.023486292097725705,4.958393597321267e-10,0.22636345757853585,6.881364643011068e-10,7.81277386145571e-10,4.993309106637382e-10,0.0032208242116289333,0.020781275928477422,0.2156169896628778,1.0264750477213902e-09,0.021286142138872137,0.022454704077214286,0.6558561947305089,0.33994229010240506,1.0518836016693065e-09,-0.7032788014094684,0.06261307589009808,0.0025829421585382576,0.0009446513587049319,0.0004384666529563749,0.000816581958314254,0.0018132364147607062,0.0017584148976759729,0.06325219962826878,0.002255355539472939
